id;nombre;tipo;stock;precio;requiere_receta
94;ACULAR LS;Antibiotico;127;71.57;NO
95;ACUREN;Vitaminas;119;32.72;SI
96;ACYCAVIR;Antiinflamatorio;66;4.41;SI
97;ADACEL;Analgesico;78;74.50;NO
98;ADAX;Analgesico;243;90.89;SI
99;ADAX FLU;Broncodilatador;102;24.90;SI
100;ADCETRIS;Antihistaminico;206;63.63;NO
101;ADDAVEN;Vitaminas;206;93.91;SI
102;ADELLA;Vitaminas;81;90.98;SI
103;ADELLA MINI;Antihistaminico;41;60.46;SI
104;ADENOCIL;Dermocosmetica;112;19.75;SI
105;ADENSIT-HG;Antimicotico;85;15.23;NO
106;ADEPROST;Vitaminas;121;67.44;SI
107;ADIZEM® 500;Antigripal;234;19.39;NO
108;ADMENTA 10;Antibiotico;56;5.07;NO
109;ADOLQUIR;Vitaminas;65;45.86;NO
110;ADONIS;Antimicotico;92;9.54;SI
111;ADOXOCORD;Antiinflamatorio;153;94.62;SI
112;ADREA;Antimicotico;138;69.37;NO
113;ADREPINE;Antimicotico;158;96.40;SI
114;AERIDIN;Broncodilatador;193;62.72;NO
115;AERIUS;Antibiotico;70;66.36;SI
116;AERO MOTIL;Dermocosmetica;201;28.24;NO
117;AERO OM;Broncodilatador;50;76.38;NO
118;AERO OM FORTE - SABOR ANIS;Antigripal;74;16.37;NO
119;AERO OM SABOR A FRESAS;Antimicotico;208;11.41;SI
120;AERO OM SABOR ANIS;Analgesico;46;77.19;NO
121;AERO SIM COMPUESTO;Dermocosmetica;145;82.61;SI
122;AERO SIM SABOR A ANIS;Broncodilatador;114;91.03;SI
123;AERO SIM SABOR A FRESA;Analgesico;55;58.09;SI
124;AEROFIT;Broncodilatador;49;93.79;NO
125;AEROGEST;Analgesico;21;72.49;NO
126;AEROGEST - SABOR ANIS;Analgesico;38;17.31;NO
127;AEROGEST FLAT;Antigripal;142;64.51;NO
128;AEROGEST PLUS FRESA;Vitaminas;197;33.38;SI
129;AEROGEST SABOR FRESA;Antibiotico;67;54.05;SI
130;AEROLISIN SABOR A ANIS;Broncodilatador;103;95.28;NO
131;AEROLISIN SABOR A FRESA;Broncodilatador;171;96.71;NO
132;AEROMIDE;Analgesico;246;87.16;SI
133;AERONASE;Antibiotico;166;95.74;NO
134;AERONID;Antiinflamatorio;62;52.94;NO
135;AERONID 125;Antigripal;77;80.27;SI
136;AERONID 250;Analgesico;56;90.76;SI
137;AERO-SIM SABOR A FRESA;Dermocosmetica;74;48.24;SI
138;AEROSOLVAN;Antiinflamatorio;199;88.65;SI
139;AEROSPAM NF;Antigripal;16;93.60;NO
140;AEROTROP;Vitaminas;211;90.67;SI
141;AEROX SABOR A ANÍS;Antiinflamatorio;250;69.83;NO
142;AEROX SABOR A FRESA;Antihistaminico;85;56.37;NO
143;AFABIN 20;Antiacido;205;92.95;SI
144;AFABIN 30;Dermocosmetica;106;91.63;SI
145;AFABIN 40;Antimicotico;230;83.82;NO
146;AFADOL;Antiinflamatorio;105;11.50;NO
147;AFIBLIDOL KIDS;Vitaminas;239;25.58;SI
148;A-FIEBRIN;Antigripal;21;64.81;NO
149;AFINITOR;Vitaminas;158;13.20;NO
150;AFLAMAX;Antihistaminico;227;59.31;SI
151;AFLAXIL;Broncodilatador;221;27.76;SI
152;AFLAZACORT;Antiinflamatorio;1;90.99;NO
153;AFRIN SP;Vitaminas;63;3.85;SI
154;AFTADIOZ;Dermocosmetica;93;60.39;SI
155;AGGLAD OFTENO;Antibiotico;103;15.88;SI
156;AGRAFIL;Antibiotico;79;99.40;SI
157;AGUA BACTERIOSTATICA;Antiacido;16;42.27;SI
158;AGUA ESTERIL PARA INYECCION;Antimicotico;9;98.02;NO
159;AGUA ESTÉRIL PARA INYECCIÓN;Antiinflamatorio;127;69.31;SI
160;AGUA ESTERIL PARA IRRIGACION;Antimicotico;86;49.37;NO
161;AGUA ESTERILIZADA PARA INYECCION;Antiinflamatorio;87;53.68;NO
162;AGUA PARA INYECCION;Antihistaminico;214;67.30;NO
163;AGUA PARA INYECCIÓN;Analgesico;183;79.25;NO
164;AIMAFIX;Vitaminas;34;23.14;NO
165;AIRLUKAST;Antigripal;95;64.15;SI
166;AIRLUKAST 10;Vitaminas;60;30.28;NO
167;AIRLUKAST 4;Dermocosmetica;212;58.52;SI
168;AIRLUKAST 5;Vitaminas;149;48.07;NO
169;AIRLUKAST®;Dermocosmetica;27;27.02;NO
170;AIRUM JAT;Broncodilatador;233;59.63;SI
171;AK TROL NF;Antigripal;26;38.99;NO
172;AKA DILATE;Broncodilatador;217;93.36;NO
173;AKAMOXX;Broncodilatador;7;52.83;NO
174;AKAMYCINA;Vitaminas;221;59.66;SI
175;AKA-PRED;Antiacido;244;86.57;SI
176;AKA-PRED® AC;Analgesico;60;20.52;NO
177;AKLIEF;Antibiotico;149;28.95;NO
178;AKNEMIN;Antiacido;11;83.81;NO
179;AKWA R;Antiinflamatorio;82;46.60;SI
180;AKWA TEARS;Antiacido;161;83.04;NO
181;AKWAGEL FREE;Antihistaminico;57;29.58;NO
182;AKW-AGELAK;Antimicotico;132;64.07;SI
183;ALBALER;Analgesico;11;12.48;NO
184;ALBAPAX 150;Analgesico;13;53.40;SI
185;ALBARATO;Antiacido;225;21.35;NO
186;ALBEMAX;Dermocosmetica;200;54.39;NO
187;ALBEN;Broncodilatador;118;34.51;NO
188;ALBENDAZOL;Analgesico;34;44.72;NO
189;ALBENTEL;Antiinflamatorio;193;48.02;SI
190;ALBENTRIN-HG;Dermocosmetica;121;90.22;NO
191;ALBISEC;Antiinflamatorio;228;72.40;NO
192;ALBOTHYL;Analgesico;127;96.61;SI
193;ALBUMIN;Dermocosmetica;34;39.57;SI
194;ALBUMINA HUMANA;Antigripal;244;94.55;NO
195;ALBUNORM;Broncodilatador;115;53.42;NO
196;ALBUREL;Antiacido;14;67.14;NO
197;ALBUREX 20;Antigripal;54;86.84;NO
198;ALCAF;Antiacido;25;4.68;SI
199;ALCAINE;Antibiotico;67;13.88;NO
200;ALCARDIOL;Dermocosmetica;7;46.80;SI
201;ALCLIMAX;Antibiotico;93;15.76;NO
202;ALDACTONE 100;Analgesico;117;18.35;NO
203;ALDACTONE A;Antiacido;26;33.23;NO
204;ALDOMET;Antigripal;166;33.06;SI
205;ALE 70;Antimicotico;210;52.96;SI
206;ALECENSA;Analgesico;32;75.71;SI
207;ALENDRON 70;Analgesico;116;44.35;NO
208;ALENDROPOROSIS;Antimicotico;235;82.13;SI
209;ALENOST-70;Dermocosmetica;132;38.80;SI
210;ALER 5;Dermocosmetica;83;91.03;NO
211;ALERBYE;Antihistaminico;104;12.85;NO
212;ALERCET;Dermocosmetica;133;60.74;SI
213;ALERCET D;Antigripal;111;59.07;NO
214;ALERCET D NF;Dermocosmetica;95;30.32;SI
215;ALERCHECK PLUS;Antiacido;50;55.31;NO
216;ALERCIL;Broncodilatador;20;97.50;NO
217;ALERCIL 10;Antigripal;223;20.76;NO
218;ALERDEL;Antihistaminico;154;40.00;NO
219;ALERDIF;Analgesico;216;69.16;NO
220;ALERFORT;Vitaminas;93;99.68;NO
221;ALERFREE C;Antihistaminico;195;28.77;NO
222;ALERFREE-C;Antiinflamatorio;49;36.79;SI
223;ALERGICAL LP;Antigripal;136;32.46;SI
224;ALERGICAL NEO;Broncodilatador;12;37.22;NO
225;ALERGICAL SF;Antimicotico;54;77.62;SI
226;ALERGICAL® LP NF;Dermocosmetica;153;37.06;NO
227;ALERGILAB;Vitaminas;247;31.38;NO
228;ALERGINOX;Analgesico;142;46.03;SI
229;ALERGIOL;Antihistaminico;187;60.85;SI
230;ALERGIPAT;Analgesico;47;60.33;NO
231;ALERGIPLUS;Antihistaminico;215;8.58;NO
232;ALERGIS;Analgesico;11;74.39;SI
233;ALERGIZER;Antibiotico;75;45.75;NO
234;ALERGIZINA;Vitaminas;243;6.53;SI
235;ALERGIZINA D;Antiacido;88;9.40;NO
236;ALERGIZINA FAST;Dermocosmetica;63;31.78;NO
237;ALERGOFTAL;Antihistaminico;138;37.22;NO
238;ALERGYCIEN;Antibiotico;75;47.26;SI
239;ALERJON;Antiinflamatorio;103;11.12;SI
240;ALERLIV;Vitaminas;234;25.67;SI
241;ALERMYCIN FORTE;Antigripal;149;91.37;NO
242;ALERNOMAX;Antiacido;134;41.92;SI
243;ALERPLAX;Dermocosmetica;98;54.00;SI
244;ALERSONA;Antibiotico;39;36.70;SI
245;ALERTIL;Antihistaminico;20;45.76;NO
246;ALERXAL;Antimicotico;176;78.39;NO
247;ALETRIZ;Antihistaminico;210;90.24;NO
248;ALEXCEF;Broncodilatador;79;47.90;SI
249;ALEXIA FORTE;Antiinflamatorio;236;58.82;SI
250;ALEXMIN;Antibiotico;207;88.46;SI
251;ALFACORT;Vitaminas;185;12.43;NO
252;ALFADOL;Broncodilatador;182;83.01;SI
253;ALGESIA 60;Dermocosmetica;51;41.91;NO
254;ALGIAS;Antimicotico;178;46.32;SI
255;ALGILEM;Antiacido;204;25.27;NO
256;ALIBRA;Dermocosmetica;246;4.70;SI
257;ALI-BUTOL;Antigripal;29;73.91;SI
258;ALICAM;Antigripal;219;42.61;NO
259;ALICAM EXTRA FORTE;Antihistaminico;54;57.64;SI
260;ALICAM FORTE;Antibiotico;127;95.28;NO
261;ALIDZOL;Dermocosmetica;78;32.88;NO
262;ALIGRIP DIA;Analgesico;225;33.20;SI
263;ALINER-S;Antiinflamatorio;171;13.98;SI
264;ALIPIDEM;Dermocosmetica;125;89.35;SI
265;ALISEP;Broncodilatador;115;57.50;NO
266;ALIVIADOL 275;Antigripal;124;78.98;NO
267;ALIVIOGEM;Antigripal;89;98.22;SI
268;ALIVIOLITO;Antibiotico;71;90.69;SI
269;ALIVOZ-B;Antigripal;173;42.48;SI
270;ALIZAR;Vitaminas;218;66.22;SI
271;ALKACEL 50;Antigripal;145;30.52;NO
272;ALKOYODO;Analgesico;29;29.29;SI
273;ALKOYODO ESPUMA;Antimicotico;34;41.55;NO
274;ALLEGRA;Antihistaminico;227;38.51;SI
275;ALLEGRA D;Antibiotico;175;82.69;NO
276;ALLEGRA PEDIATRICO;Broncodilatador;60;45.05;NO
277;ALLER-CLORT;Antigripal;101;35.28;SI
278;ALLERCOM;Antimicotico;31;40.18;SI
279;ALLERGISTAL-120;Antiacido;120;8.45;NO
280;ALLERGISTAL-180;Antigripal;180;70.15;SI
281;ALLERGY TADINA;Analgesico;151;79.77;SI
282;ALLERGY-BIO;Analgesico;130;83.25;SI
283;ALLERICOM;Antiinflamatorio;107;40.05;NO
284;ALLERNADEX;Vitaminas;208;10.59;NO
285;ALLERSTAT 180;Antimicotico;248;6.85;NO
286;ALLIVIAX;Antimicotico;161;38.05;NO
287;ALMEDOP;Broncodilatador;94;77.96;SI
288;ALMORA;Dermocosmetica;232;93.69;SI
289;ALMOTAN 12.5;Antiinflamatorio;165;30.73;NO
290;ALMOTAN 6.25;Antihistaminico;148;53.74;NO
291;ALOPURINOL;Antihistaminico;139;11.78;SI
292;ALOSTAL-70;Antimicotico;243;95.03;SI
293;ALPAZ;Antiinflamatorio;172;62.57;SI
294;ALPHACAINE 100;Dermocosmetica;229;55.58;NO
295;ALPHAGAN P;Antibiotico;92;82.26;NO
296;ALPOSCAD;Analgesico;122;83.38;NO
297;ALPOSCAD 500;Broncodilatador;138;63.65;NO
298;ALPRAXAN;Antiinflamatorio;156;82.84;NO
299;ALPRAZLAM;Analgesico;36;78.11;NO
300;ALPRAZOLAM;Analgesico;71;22.43;NO
301;ALTAD CAPS;Broncodilatador;189;14.82;SI
302;ALVIERA;Dermocosmetica;108;14.33;SI
303;ALYEX MIGRAÑA;Analgesico;29;78.69;SI
304;ALYVIR;Antiinflamatorio;22;34.41;NO
305;ALZAM®;Broncodilatador;92;60.77;SI
306;ALZEILIN;Antiinflamatorio;21;59.40;SI
307;ALZIT;Antigripal;49;81.26;SI
308;AMADAZ;Antiacido;90;34.62;SI
309;AMAGLEN;Antigripal;223;19.41;NO
310;AMAL;Antimicotico;236;31.07;SI
311;AMARYL M;Antiinflamatorio;238;24.85;SI
312;AMBIGEL;Dermocosmetica;154;46.43;NO
313;AMBILON;Broncodilatador;32;96.25;SI
314;AMBISOME;Broncodilatador;16;5.68;SI
315;AMBRIL 10;Antiinflamatorio;82;53.46;SI
316;AMBRIL 5;Dermocosmetica;201;53.31;SI
317;AMBROKIDS;Dermocosmetica;200;62.54;NO
318;AMBROMEXINA 15;Vitaminas;167;35.74;SI
319;AMBROMEXINA 30;Analgesico;149;99.62;SI
320;AMBROXMEDIC 15;Vitaminas;193;93.94;NO
321;AMBROXMEDIC 30;Antigripal;148;8.57;SI
322;AMBROXOL;Antiinflamatorio;86;9.97;NO
323;AMERIN HOT;Analgesico;243;68.97;SI
324;AMERITON;Antihistaminico;35;8.44;NO
325;AMFOTERICINA B;Dermocosmetica;183;31.82;SI
326;AMGEVITA;Antiinflamatorio;242;67.37;SI
327;AMIASTEN;Antihistaminico;246;71.12;SI
328;AMIBIOTIC;Antigripal;113;82.10;SI
329;AMICLAF;Analgesico;177;18.30;NO
330;AMIELECT;Vitaminas;12;68.49;SI
331;AMIGDAZOL B;Antiacido;213;50.54;NO
332;AMIGDAZOL PLUS;Antihistaminico;140;81.64;NO
333;AMIK 1;Antigripal;17;98.17;SI
334;AMIKABIOT;Antimicotico;245;4.19;NO
335;AMIKACINA;Antibiotico;98;54.11;SI
336;AMIKACINA SULFATO;Antibiotico;35;60.01;NO
337;AMIKAGRAM;Antiinflamatorio;135;90.23;NO
338;AMIKAMED;Analgesico;207;42.73;SI
339;AMIKANEN;Analgesico;37;99.51;SI
340;AMIKIN;Antihistaminico;168;40.89;NO
341;AMINAXOL;Antibiotico;228;85.52;NO
342;AMINAXOL - 500;Antigripal;158;78.20;SI
343;AMINOFILINA;Analgesico;57;95.16;SI
344;AMINOSTERIL N-HEPA;Antigripal;22;32.72;NO
345;AMINOVEN;Antibiotico;24;91.19;SI
346;AMINOVEN INFANT;Vitaminas;183;38.36;NO
347;AMIODARONA;Antiinflamatorio;126;13.23;NO
348;AMIODARONA CLORHIDRATO;Broncodilatador;192;5.26;NO
349;AMIOSUN;Dermocosmetica;62;36.54;SI
350;AMIPIRAS;Antiacido;202;44.53;NO
351;AMISULPRIDA;Antigripal;39;52.33;SI
352;AMITRIPTILINA;Antimicotico;163;93.93;NO
353;AMITRIPTILINA CLORHIDRATO;Dermocosmetica;120;14.07;NO
354;AMIZAL;Analgesico;48;16.28;SI
355;AMLOC;Antibiotico;130;6.16;NO
356;AMLODIPINO;Dermocosmetica;24;48.79;SI
357;AMLODIPRESS;Antiinflamatorio;63;49.30;NO
358;AMLOPREDNIL;Analgesico;190;34.73;SI
359;AMLOPRIL-10;Antiinflamatorio;97;78.40;SI
360;AMLOPRIL-5;Broncodilatador;187;44.12;NO
361;AMOCOM;Antihistaminico;146;84.69;NO
362;AMODEN;Antiinflamatorio;219;97.88;SI
363;AMODEN CL;Antibiotico;105;54.59;NO
364;AMOPACK-HP;Broncodilatador;237;96.04;SI
365;AMOSEV-125;Antihistaminico;30;39.69;SI
366;AMOSEV-CV 1000;Antigripal;38;7.54;SI
367;AMOSEV-CV 312.5;Broncodilatador;184;60.51;SI
368;AMOSEV-CV 625;Antigripal;228;8.01;SI
369;AMOX;Antihistaminico;215;40.85;NO
370;AMOX 500;Antihistaminico;190;63.07;NO
371;AMOXCLAN;Vitaminas;250;90.55;SI
372;AMOXELIN;Vitaminas;108;21.40;NO
373;AMOXIBIOTECH;Antihistaminico;130;46.62;SI
374;AMOXI-C;Antihistaminico;151;11.33;NO
375;AMOXICILINA;Analgesico;106;20.75;NO
376;AMOXICILINA + ACIDO CLAVULANICO;Vitaminas;248;4.25;NO
377;AMOXICILINA + ÁCIDO CLAVULÁNICO;Antihistaminico;237;45.21;NO
378;AMOXICILINA + AMBROXOL CLORHIDRATO;Antihistaminico;168;75.36;SI
379;AMOXICILINA + BROMHEXINA;Antigripal;191;83.03;NO
380;AMOXICILINA + BROMHEXINA NF;Vitaminas;8;27.71;NO
381;AMOXICILINA+ ACIDO CLAVULANICO;Vitaminas;62;22.21;SI
382;AMOXICLIN;Antiacido;149;18.15;NO
383;AMOXICLIN CL 12 H;Dermocosmetica;91;80.07;SI
384;AMOXICLIN CL 12H;Antiacido;136;16.36;NO
385;AMOXICLIN CL 250;Vitaminas;145;17.56;SI
386;AMOXICLIN CL 500;Dermocosmetica;146;29.70;SI
387;AMOXICLIN DUO;Broncodilatador;157;18.80;NO
388;AMOXICOM;Antibiotico;86;9.15;SI
389;AMOXIDAL DUO;Antihistaminico;105;96.05;SI
390;AMOXIDAL DUO 250;Antigripal;51;4.29;NO
391;AMOXIDAL DUO 500;Antiinflamatorio;239;17.32;NO
392;AMOXIDAL PLUS;Vitaminas;235;7.82;SI
393;AMOXIDAL PLUS 600;Analgesico;204;98.65;SI
394;AMOXIDAL RESPIRATORIO DUO 750/15 mg;Dermocosmetica;165;22.77;SI
395;AMOXIDAP;Antimicotico;137;8.35;NO
396;AMOXIDIN 7;Antihistaminico;93;60.38;NO
397;AMOXIDIN CL;Antihistaminico;93;17.55;NO
398;AMOXIDIN CL 1000;Antimicotico;204;3.61;NO
399;AMOXIDIN CL 1200;Antihistaminico;69;33.40;NO
400;AMOXIDIN CL 250/62.5;Antibiotico;31;37.57;NO
401;AMOXIDIN CL 400/57;Antigripal;116;61.15;SI
402;AMOXIDIN CL 600;Vitaminas;1;9.15;SI
403;AMOXIDIN CL 600/42.9;Antibiotico;119;73.92;SI
404;AMOXIDIN DUO;Broncodilatador;178;48.89;SI
405;AMOXIDIN DUO 500;Antimicotico;198;71.07;SI
406;AMOXIGRUP PLUS DUO;Antimicotico;59;83.55;NO
407;AMOXIL;Antibiotico;232;91.10;SI
408;AMOXILIP;Antihistaminico;135;74.84;SI
409;AMOXILIP 250;Antigripal;154;87.09;SI
410;AMOXILIP 500;Antiacido;132;6.43;SI
411;AMOXIMASS;Antiinflamatorio;160;52.95;SI
412;AMOXI-ONE;Analgesico;132;39.51;SI
413;AMOXIORAL;Antimicotico;222;43.17;NO
414;AMOXIORAL®;Antibiotico;109;68.19;NO
415;AMOXIPEN;Dermocosmetica;173;63.86;SI
416;AMOXIPEN DUO;Antimicotico;86;48.36;SI
417;AMOXIPHARM CL;Analgesico;65;62.39;SI
418;AMOXITRIM;Antimicotico;200;41.57;NO
419;AMOXYSEVEN;Antigripal;137;29.07;SI
420;AMOXY-VEN;Broncodilatador;224;58.01;NO
421;AMOXZAR-C;Antihistaminico;105;3.82;NO
422;AMPHOLIP;Analgesico;111;16.21;NO
423;AMPHONEX;Antimicotico;20;73.91;NO
424;AMPHOT;Antiinflamatorio;66;42.60;NO
425;AMPHOTRET;Antibiotico;103;61.59;NO
426;AMPIBACTAM;Antiacido;173;14.34;NO
427;AMPIBACTAM® S;Broncodilatador;58;19.85;NO
428;AMPICILINA;Antimicotico;20;84.16;NO
429;AMPICILINA  + SULBACTAM;Antibiotico;120;99.80;NO
430;AMPICILINA + SULBACTAM;Vitaminas;212;90.50;NO
431;AMPICILINA + SULBACTAM SODICO;Antihistaminico;211;13.94;NO
432;AMPIMOX 1;Antiacido;250;71.50;SI
433;AMPORI;Antiacido;145;17.52;NO
434;AMSULONA;Antiinflamatorio;47;14.61;SI
435;AMTAS 10;Analgesico;190;90.90;NO
436;AMTAS 5;Broncodilatador;112;50.17;NO
437;AMYTRIP;Vitaminas;83;52.68;SI
438;ANAFIDOL;Antibiotico;80;79.22;SI
439;ANAFLEX MUJER;Vitaminas;202;93.02;NO
440;ANAFLEX® MUJER;Antigripal;70;35.07;SI
441;ANAFLEX® MUJER NF;Antiacido;10;68.88;NO
442;ANALDEX;Broncodilatador;138;63.63;NO
443;ANALGELUX®;Antigripal;77;68.88;NO
444;ANALGESIUM;Broncodilatador;23;23.53;SI
445;ANALGYN;Antibiotico;180;52.02;SI
446;ANANASE 3000;Antimicotico;149;60.33;NO
447;ANAPSIQUE;Vitaminas;42;92.06;SI
448;ANASTROZOL;Antibiotico;81;21.05;SI
449;ANASVITAE;Vitaminas;79;14.05;SI
450;ANATERO;Antihistaminico;57;62.97;SI
451;ANAYSS 21;Antigripal;158;98.70;SI
452;ANDANTOL;Antihistaminico;3;14.20;SI
453;ANDREAS;Antibiotico;115;66.81;NO
454;ANDREWS;Antihistaminico;197;39.34;SI
455;ANDREWS ® SABOR A MENTA;Antihistaminico;149;78.00;SI
456;ANDREWS TRIPLE ACCION;Broncodilatador;23;46.30;SI
457;ANDROGEL;Broncodilatador;173;17.74;SI
458;ANEMIUS;Antibiotico;17;57.45;SI
459;ANEPIGRAN;Dermocosmetica;230;40.28;NO
460;ANESTEARS;Antiinflamatorio;79;70.91;NO
461;ANEURIN;Vitaminas;132;36.06;NO
462;ANEURIN 10 000;Antiacido;88;50.53;NO
463;ANEURIN 1000;Analgesico;123;84.82;NO
464;ANEURIN 10000;Antiinflamatorio;74;67.31;SI
465;ANEURIN 5000;Antigripal;73;46.49;SI
466;ANEURIN B12 20000;Antiinflamatorio;42;69.85;NO
467;ANEURIN FORTE NF;Antibiotico;94;93.91;NO
468;ANEXTINA;Antigripal;213;50.14;SI
469;ANFIBOL;Vitaminas;117;56.33;SI
470;ANFITEK 80;Antigripal;145;73.71;SI
471;ANGELIQ;Antibiotico;59;10.81;SI
472;ANGIDEX NF;Broncodilatador;60;80.96;NO
473;ANGIE;Antiinflamatorio;101;14.37;SI
474;ANGIE 20;Antiinflamatorio;107;16.00;SI
475;ANGIE CD;Antihistaminico;12;72.54;SI
476;ANGINOVAG;Antihistaminico;39;25.48;SI
477;ANGIOFIN 500;Analgesico;189;14.50;SI
478;ANGIOLAM;Analgesico;187;50.22;NO
479;ANGIPEC;Antihistaminico;70;20.65;NO
480;ANHIGOT;Analgesico;14;65.29;NO
481;ANIRAX;Antiacido;83;69.09;SI
482;ANIRDAN;Antimicotico;16;30.58;SI
483;ANIXOR;Antimicotico;134;55.44;NO
484;ANMOL;Antibiotico;87;64.31;SI
485;ANSICOT 25;Antimicotico;16;86.94;NO
486;ANSICOT® 200;Antiacido;163;95.65;NO
487;ANSIODEX E 10;Antimicotico;142;45.13;NO
488;ANSIODEX E 20;Antiacido;18;48.60;NO
489;ANTALGINA;Vitaminas;61;9.53;NO
490;ANTIBACCIX MSP;Antiacido;113;11.61;SI
491;ANTIDIARR FORTE;Antigripal;45;41.62;NO
